kode,nama perusahaan,sektor
MBAP,Mitrabara Adiperdana Tbk.,Energy
MITI,Mitra Investindo Tbk.,Energy
MTFN,Capitalinc Investment Tbk.,Energy
PKPK,Perdana Karya Perkasa Tbk,Energy
RIGS,Rig Tenders Indonesia Tbk.,Energy
RUIS,Radiant Utama Interinsco Tbk.,Energy
SEMA,Semacom Integrated Tbk.,Energy
SGER,Sumber Global Energy Tbk.,Energy
SHIP,Sillo Maritime Perdana Tbk.,Energy
SICO,Sigma Energy Compressindo Tbk.,Energy
SMMT,Golden Eagle Energy Tbk.,Energy
SMRU,SMR Utama Tbk.,Energy
SOCI,Soechi Lines Tbk.,Energy
SUGI,Sugih Energy Tbk.,Energy
SURE,Super Energy Tbk.,Energy
TAMU,Pelayaran Tamarin Samudra Tbk.,Energy
TCPI,Transcoal Pacific Tbk.,Energy
TEBE,Dana Brata Luhur Tbk.,Energy
TPMA,Trans Power Marine Tbk.,Energy
WOWS,Ginting Jaya Energi Tbk.,Energy
ADMF,Adira Dinamika Multi Finance T,Financials
AGRO,Bank Raya Indonesia Tbk.,Financials
ASDM,Asuransi Dayin Mitra Tbk.,Financials
ASMI,Asuransi Maximus Graha Persada,Financials
BBCA,Bank Central Asia Tbk.,Financials
BBKP,Bank KB Bukopin Tbk.,Financials
BBMD,Bank Mestika Dharma Tbk.,Financials
BBNI,Bank Negara Indonesia (Persero,Financials
BBRI,Bank Rakyat Indonesia (Persero,Financials
BBTN,Bank Tabungan Negara (Persero),Financials
BBYB,Bank Neo Commerce Tbk.,Financials
BCAP,MNC Kapital Indonesia Tbk.,Financials
BDMN,Bank Danamon Indonesia Tbk.,Financials
BFIN,BFI Finance Indonesia Tbk.,Financials
BINA,Bank Ina Perdana Tbk.,Financials
BJBR,Bank Pembangunan Daerah Jawa B,Financials
BJTM,Bank Pembangunan Daerah Jawa T,Financials
BMRI,Bank Mandiri (Persero) Tbk.,Financials
BNBA,Bank Bumi Arta Tbk.,Financials
BNGA,Bank CIMB Niaga Tbk.,Financials
BNII,Bank Maybank Indonesia Tbk.,Financials
BNLI,Bank Permata Tbk.,Financials
BRIS,Bank Syariah Indonesia Tbk.,Financials
BSIM,Bank Sinarmas Tbk.,Financials
BTPN,Bank BTPN Tbk.,Financials
BTPS,Bank BTPN Syariah Tbk.,Financials
BVIC,Bank Victoria International Tb,Financials
CFIN,Clipan Finance Indonesia Tbk.,Financials
DNAR,Bank Oke Indonesia Tbk.,Financials
HDFA,Radana Bhaskara Finance Tbk.,Financials
INPC,Bank Artha Graha Internasional,Financials
LIFE,Asuransi Jiwa Sinarmas MSIG Tb,Financials
LPGI,Lippo General Insurance Tbk.,Financials
MAYA,Bank Mayapada Internasional Tb,Financials
MCOR,Bank China Construction Bank I,Financials
MEGA,Bank Mega Tbk.,Financials
NISP,Bank OCBC NISP Tbk.,Financials
NOBU,Bank Nationalnobu Tbk.,Financials
PADI,Minna Padi Investama Sekuritas,Financials
PANS,Panin Sekuritas Tbk.,Financials
PNBN,Bank Pan Indonesia Tbk,Financials
PNBS,Bank Panin Dubai Syariah Tbk.,Financials
PNIN,Paninvest Tbk.,Financials
PNLF,Panin Financial Tbk.,Financials
RELI,Reliance Sekuritas Indonesia T,Financials
SMMA,Sinarmas Multiartha Tbk.,Financials
SRTG,Saratoga Investama Sedaya Tbk.,Financials
STAR,Buana Artha Anugerah Tbk.,Financials
TRIM,Trimegah Sekuritas Indonesia T,Financials
VICO,Victoria Investama Tbk.,Financials
WOMF,Wahana Ottomitra Multiartha Tb,Financials
ABDA,Asuransi Bina Dana Arta Tbk.,Financials
AGRS,Bank IBK Indonesia Tbk.,Financials
AHAP,Asuransi Harta Aman Pratama Tb,Financials
AMAG,Asuransi Multi Artha Guna Tbk.,Financials
AMAR,Bank Amar Indonesia Tbk.,Financials
AMOR,Ashmore Asset Management Indon,Financials
APIC,Pacific Strategic Financial Tb,Financials
ARTO,Bank Jago Tbk.,Financials
ASBI,Asuransi Bintang Tbk.,Financials
ASJT,Asuransi Jasa Tania Tbk.,Financials
ASRM,Asuransi Ramayana Tbk.,Financials
BABP,Bank MNC Internasional Tbk.,Financials
BACA,Bank Capital Indonesia Tbk.,Financials
BANK,Bank Aladin Syariah Tbk.,Financials
BBHI,Allo Bank Indonesia Tbk.,Financials
BBLD,Buana Finance Tbk.,Financials
BBSI,Bank Bisnis Internasional Tbk.,Financials
BCIC,Bank JTrust Indonesia Tbk.,Financials
BEKS,Bank Pembangunan Daerah Banten,Financials
BGTG,Bank Ganesha Tbk.,Financials
BHAT,Bhakti Multi Artha Tbk.,Financials
BKSW,Bank QNB Indonesia Tbk.,Financials
BMAS,Bank Maspion Indonesia Tbk.,Financials
BPFI,Batavia Prosperindo Finance Tb,Financials
BPII,Batavia Prosperindo Internasio,Financials
BSWD,Bank Of India Indonesia Tbk.,Financials
CASA,Capital Financial Indonesia Tb,Financials
DEFI,Danasupra Erapacific Tbk.,Financials
DNET,Indoritel Makmur Internasional,Financials
FUJI,Fuji Finance Indonesia Tbk.,Financials
GSMF,Equity Development Investment,Financials
IBFN,Intan Baru Prana Tbk.,Financials
IMJS,Indomobil Multi Jasa Tbk.,Financials
JMAS,Asuransi Jiwa Syariah Jasa Mit,Financials
LPPS,Lenox Pasifik Investama Tbk.,Financials
MASB,Bank Multiarta Sentosa Tbk.,Financials
MFIN,Mandala Multifinance Tbk.,Financials
MGNA,Magna Investama Mandiri Tbk.,Financials
MREI,Maskapai Reasuransi Indonesia,Financials
MTWI,Malacca Trust Wuwungan Insuran,Financials
NICK,Charnic Capital Tbk.,Financials
OCAP,Onix Capital Tbk.,Financials
PEGE,Panca Global Kapital Tbk.,Financials
PLAS,Polaris Investama Tbk,Financials
POLA,Pool Advista Finance Tbk.,Financials
POOL,Pool Advista Indonesia Tbk.,Financials
SDRA,Bank Woori Saudara Indonesia 1,Financials
SFAN,Surya Fajar Capital Tbk.,Financials
TIFA,KDB Tifa Finance Tbk.,Financials
TRUS,Trust Finance Indonesia Tbk,Financials
TUGU,Asuransi Tugu Pratama Indonesi,Financials
VINS,Victoria Insurance Tbk.,Financials
VRNA,Verena Multi Finance Tbk.,Financials
YULE,Yulie Sekuritas Indonesia Tbk.,Financials
BMHS,Bundamedik Tbk.,Healthcare
DVLA,Darya-Varia Laboratoria Tbk.,Healthcare
HEAL,Medikaloka Hermina Tbk.,Healthcare
INAF,Indofarma Tbk.,Healthcare
KAEF,Kimia Farma Tbk.,Healthcare
KLBF,Kalbe Farma Tbk.,Healthcare
MTMH,Murni Sadar Tbk.,Healthcare
PEHA,Phapros Tbk.,Healthcare
PRDA,Prodia Widyahusada Tbk.,Healthcare
RSGK,Kedoya Adyaraya Tbk.,Healthcare
SIDO,Industri Jamu dan Farmasi Sido,Healthcare
SILO,Siloam International Hospitals,Healthcare
SOHO,Soho Global Health Tbk.,Healthcare
SRAJ,Sejahteraraya Anugrahjaya Tbk.,Healthcare
TSPC,Tempo Scan Pacific Tbk.,Healthcare
CARE,Metro Healthcare Indonesia Tbk,Healthcare
DGNS,Diagnos Laboratorium Utama Tbk,Healthcare
IRRA,Itama Ranoraya Tbk.,Healthcare
MERK,Merck Tbk.,Healthcare
MIKA,Mitra Keluarga Karyasehat Tbk.,Healthcare
PRIM,Royal Prima Tbk.,Healthcare
PYFA,Pyridam Farma Tbk,Healthcare
SAME,Sarana Meditama Metropolitan T,Healthcare
SCPI,Organon Pharma Indonesia Tbk.,Healthcare
ABMM,ABM Investama Tbk.,Industrials
AMFG,Asahimas Flat Glass Tbk.,Industrials
ARNA,Arwana Citramulia Tbk.,Industrials
ASGR,Astra Graphia Tbk.,Industrials
ASII,Astra International Tbk.,Industrials
BHIT,MNC Investama Tbk.,Industrials
BMTR,Global Mediacom Tbk.,Industrials
DYAN,Dyandra Media International Tb,Industrials
HEXA,Hexindo Adiperkasa Tbk.,Industrials
KBLI,KMI Wire & Cable Tbk.,Industrials
KOBX,Kobexindo Tractors Tbk.,Industrials
KPAL,Steadfast Marine Tbk.,Industrials
LION,Lion Metal Works Tbk.,Industrials
MARK,Mark Dynamics Indonesia Tbk.,Industrials
MDRN,Modern Internasional Tbk.,Industrials
SCCO,Supreme Cable Manufacturing &,Industrials
UNTR,United Tractors Tbk.,Industrials
VOKS,Voksel Electric Tbk.,Industrials
AMIN,Ateliers Mecaniques D Indonesi,Industrials
APII,Arita Prima Indonesia Tbk.,Industrials
ARKA,Arkha Jayanti Persada Tbk.,Industrials
BINO,Perma Plasindo Tbk.,Industrials
BLUE,Berkah Prima Perkasa Tbk.,Industrials
BNBR,Bakrie & Brothers Tbk,Industrials
CAKK,Cahayaputra Asa Keramik Tbk.,Industrials
CCSI,Communication Cable Systems In,Industrials
CTTH,Citatah Tbk.,Industrials
GPSO,Geoprima Solusi Tbk.,Industrials
HOPE,Harapan Duta Pertiwi Tbk.,Industrials
ICON,Island Concepts Indonesia Tbk.,Industrials
IKBI,Sumi Indo Kabel Tbk.,Industrials
IMPC,Impack Pratama Industri Tbk.,Industrials
INDX,Tanah Laut Tbk,Industrials
INTA,Intraco Penta Tbk.,Industrials
JECC,Jembo Cable Company Tbk.,Industrials
JTPE,Jasuindo Tiga Perkasa Tbk.,Industrials
KBLM,Kabelindo Murni Tbk.,Industrials
KIAS,Keramika Indonesia Assosiasi T,Industrials
KOIN,Kokoh Inti Arebama Tbk,Industrials
KONI,Perdana Bangun Pusaka Tbk,Industrials
KRAH,Grand Kartech Tbk.,Industrials
KUAS,Ace Oldfields Tbk.,Industrials
LABA,Ladangbaja Murni Tbk.,Industrials
MFMI,Multifiling Mitra Indonesia Tb,Industrials
MLIA,Mulia Industrindo Tbk,Industrials
MLPL,Multipolar Tbk.,Industrials
NTBK,Nusatama Berkah Tbk.,Industrials
SINI,Singaraja Putra Tbk.,Industrials
SKRN,Superkrane Mitra Utama Tbk.,Industrials
SOSS,Shield On Service Tbk.,Industrials
SPTO,Surya Pertiwi Tbk.,Industrials
TIRA,Tira Austenite Tbk,Industrials
TOTO,Surya Toto Indonesia Tbk.,Industrials
TRIL,Triwira Insanlestari Tbk.,Industrials
ZBRA,Dosni Roha Indonesia Tbk.,Industrials
FIMP,Fimperkasa Utama Tbk.,Infrastructures
SMKM,Sumber Mas Konstruksi Tbk.,Infrastructures
ACST,Acset Indonusa Tbk.,Infrastructures
ADHI,Adhi Karya (Persero) Tbk.,Infrastructures
BTEL,Bakrie Telecom Tbk.,Infrastructures
CMNP,Citra Marga Nusaphala Persada,Infrastructures
DGIK,Nusa Konstruksi Enjiniring Tbk,Infrastructures
EXCL,XL Axiata Tbk.,Infrastructures
FREN,Smartfren Telecom Tbk.,Infrastructures
GHON,Gihon Telekomunikasi Indonesia,Infrastructures
GMFI,Garuda Maintenance Facility Ae,Infrastructures
IBST,Inti Bangun Sejahtera Tbk.,Infrastructures
IDPR,Indonesia Pondasi Raya Tbk.,Infrastructures
IPCC,Indonesia Kendaraan Terminal T,Infrastructures
IPCM,Jasa Armada Indonesia Tbk.,Infrastructures
ISAT,Indosat Tbk.,Infrastructures
JKON,Jaya Konstruksi Manggala Prata,Infrastructures
JSMR,Jasa Marga (Persero) Tbk.,Infrastructures
KEEN,Kencana Energi Lestari Tbk.,Infrastructures
LINK,Link Net Tbk.,Infrastructures
META,Nusantara Infrastructure Tbk.,Infrastructures
MTEL,Dayamitra Telekomunikasi Tbk.,Infrastructures
NRCA,Nusa Raya Cipta Tbk.,Infrastructures
PBSA,Paramita Bangun Sarana Tbk.,Infrastructures
PPRE,PP Presisi Tbk.,Infrastructures
PTPP,PP (Persero) Tbk.,Infrastructures
SSIA,Surya Semesta Internusa Tbk.,Infrastructures
TBIG,Tower Bersama Infrastructure T,Infrastructures
TGRA,Terregra Asia Energy Tbk.,Infrastructures
TLKM,Telkom Indonesia (Persero) Tbk,Infrastructures
TOPS,Totalindo Eka Persada Tbk.,Infrastructures
TOTL,Total Bangun Persada Tbk.,Infrastructures
TOWR,Sarana Menara Nusantara Tbk.,Infrastructures
WEGE,Wijaya Karya Bangunan Gedung T,Infrastructures
WIKA,Wijaya Karya (Persero) Tbk.,Infrastructures
WSKT,Waskita Karya (Persero) Tbk.,Infrastructures
BALI,Bali Towerindo Sentra Tbk.,Infrastructures
BUKK,Bukaka Teknik Utama Tbk.,Infrastructures
CASS,Cardig Aero Services Tbk.,Infrastructures
CENT,Centratama Telekomunikasi Indo,Infrastructures
GOLD,Visi Telekomunikasi Infrastruk,Infrastructures
HADE,Himalaya Energi Perkasa Tbk.,Infrastructures
JAST,Jasnita Telekomindo Tbk.,Infrastructures
KARW,ICTSI Jasa Prima Tbk.,Infrastructures
KBLV,First Media Tbk.,Infrastructures
LAPD,Leyand International Tbk.,Infrastructures
LCKM,LCK Global Kedaton Tbk.,Infrastructures
MPOW,Megapower Makmur Tbk.,Infrastructures
MTPS,Meta Epsi Tbk.,Infrastructures
MTRA,Mitra Pemuda Tbk.,Infrastructures
OASA,Protech Mitra Perkasa Tbk.,Infrastructures
PORT,Nusantara Pelabuhan Handal Tbk,Infrastructures
POWR,Cikarang Listrindo Tbk.,Infrastructures
PTDU,Djasa Ubersakti Tbk.,Infrastructures
PTPW,Pratama Widya Tbk.,Infrastructures
RONY,Aesler Grup Internasional Tbk.,Infrastructures
SUPR,Solusi Tunas Pratama Tbk.,Infrastructures
TAMA,Lancartama Sejati Tbk.,Infrastructures
IPAC,Era Graharealty Tbk.,Properties & Real Estate
ADCP,Adhi Commuter Properti Tbk.,Properties & Real Estate
AMAN,Makmur Berkah Amanda Tbk.,Properties & Real Estate
APLN,Agung Podomoro Land Tbk.,Properties & Real Estate
ASRI,Alam Sutera Realty Tbk.,Properties & Real Estate
BAPA,Bekasi Asri Pemula Tbk.,Properties & Real Estate
BEST,Bekasi Fajar Industrial Estate,Properties & Real Estate
BKSL,Sentul City Tbk.,Properties & Real Estate
BSDE,Bumi Serpong Damai Tbk.,Properties & Real Estate
CITY,Natura City Developments Tbk.,Properties & Real Estate
CTRA,Ciputra Development Tbk.,Properties & Real Estate
DART,Duta Anggada Realty Tbk.,Properties & Real Estate
DILD,Intiland Development Tbk.,Properties & Real Estate
DMAS,Puradelta Lestari Tbk.,Properties & Real Estate
ELTY,Bakrieland Development Tbk.,Properties & Real Estate
FORZ,Forza Land Indonesia Tbk.,Properties & Real Estate
GAMA,Aksara Global Development Tbk.,Properties & Real Estate
GPRA,Perdana Gapuraprima Tbk.,Properties & Real Estate
GWSA,Greenwood Sejahtera Tbk.,Properties & Real Estate
JRPT,Jaya Real Property Tbk.,Properties & Real Estate
KIJA,Kawasan Industri Jababeka Tbk.,Properties & Real Estate
KOTA,DMS Propertindo Tbk.,Properties & Real Estate
LPCK,Lippo Cikarang Tbk,Properties & Real Estate
LPKR,Lippo Karawaci Tbk.,Properties & Real Estate
MDLN,Modernland Realty Tbk.,Properties & Real Estate
MTLA,Metropolitan Land Tbk.,Properties & Real Estate
NZIA,Nusantara Almazia Tbk.,Properties & Real Estate
PAMG,Bima Sakti Pertiwi Tbk.,Properties & Real Estate
PLIN,Plaza Indonesia Realty Tbk.,Properties & Real Estate
POLL,Pollux Properties Indonesia Tb,Properties & Real Estate
PPRO,PP Properti Tbk.,Properties & Real Estate
PUDP,Pudjiadi Prestige Tbk.,Properties & Real Estate
PWON,Pakuwon Jati Tbk.,Properties & Real Estate
RBMS,Ristia Bintang Mahkotasejati T,Properties & Real Estate
RDTX,Roda Vivatex Tbk,Properties & Real Estate
SMRA,Summarecon Agung Tbk.,Properties & Real Estate
TARA,Agung Semesta Sejahtera Tbk.,Properties & Real Estate
WINR,Winner Nusantara Jaya Tbk.,Properties & Real Estate
ARMY,Armidian Karyatama Tbk.,Properties & Real Estate
ASPI,Andalan Sakti Primaindo Tbk.,Properties & Real Estate
ATAP,Trimitra Prawara Goldland Tbk.,Properties & Real Estate
BAPI,Bhakti Agung Propertindo Tbk.,Properties & Real Estate
BBSS,Bumi Benowo Sukses Sejahtera T,Properties & Real Estate
BCIP,Bumi Citra Permai Tbk.,Properties & Real Estate
BIKA,Binakarya Jaya Abadi Tbk.,Properties & Real Estate
BIPP,Bhuwanatala Indah Permai Tbk.,Properties & Real Estate
BKDP,Bukit Darmo Property Tbk,Properties & Real Estate
COWL,Cowell Development Tbk.,Properties & Real Estate
CPRI,Capri Nusa Satu Properti Tbk.,Properties & Real Estate
CSIS,Cahayasakti Investindo Sukses,Properties & Real Estate
DADA,Diamond Citra Propertindo Tbk.,Properties & Real Estate
DUTI,Duta Pertiwi Tbk,Properties & Real Estate
EMDE,Megapolitan Developments Tbk.,Properties & Real Estate
FMII,Fortune Mate Indonesia Tbk,Properties & Real Estate
GMTD,Gowa Makassar Tourism Developm,Properties & Real Estate
HOMI,Grand House Mulia Tbk.,Properties & Real Estate
INDO,Royalindo Investa Wijaya Tbk.,Properties & Real Estate
INPP,Indonesian Paradise Property T,Properties & Real Estate
KBAG,Karya Bersama Anugerah Tbk.,Properties & Real Estate
LAND,Trimitra Propertindo Tbk.,Properties & Real Estate
LCGP,Eureka Prima Jakarta Tbk.,Properties & Real Estate
LPLI,Star Pacific Tbk,Properties & Real Estate
MKPI,Metropolitan Kentjana Tbk.,Properties & Real Estate
MMLP,Mega Manunggal Property Tbk.,Properties & Real Estate
MPRO,Maha Properti Indonesia Tbk.,Properties & Real Estate
MTSM,Metro Realty Tbk.,Properties & Real Estate
MYRX,Hanson International Tbk.,Properties & Real Estate
NIRO,City Retail Developments Tbk.,Properties & Real Estate
OMRE,Indonesia Prima Property Tbk,Properties & Real Estate
POLI,Pollux Hotels Group Tbk.,Properties & Real Estate
POSA,Bliss Properti Indonesia Tbk.,Properties & Real Estate
PURI,Puri Global Sukses Tbk.,Properties & Real Estate
REAL,Repower Asia Indonesia Tbk.,Properties & Real Estate
RIMO,Rimo International Lestari Tbk,Properties & Real Estate
ROCK,Rockfields Properti Indonesia,Properties & Real Estate
RODA,Pikko Land Development Tbk.,Properties & Real Estate
SATU,Kota Satu Properti Tbk.,Properties & Real Estate
SMDM,Suryamas Dutamakmur Tbk.,Properties & Real Estate
TRIN,Perintis Triniti Properti Tbk.,Properties & Real Estate
TRUE,Triniti Dinamik Tbk.,Properties & Real Estate
URBN,Urban Jakarta Propertindo Tbk.,Properties & Real Estate
CASH,Cashlez Worldwide Indonesia Tb,Technology
PGJO,Tourindo Guide Indonesia Tbk.,Technology
RUNS,Global Sukses Solusi Tbk.,Technology
UVCR,Trimegah Karya Pratama Tbk.,Technology
WGSH,Wira Global Solusi Tbk.,Technology
ATIC,Anabatic Technologies Tbk.,Technology
EMTK,Elang Mahkota Teknologi Tbk.,Technology
GOTO,GoTo Gojek Tokopedia Tbk.,Technology
HDIT,Hensel Davest Indonesia Tbk.,Technology
KREN,Kresna Graha Investama Tbk.,Technology
MLPT,Multipolar Technology Tbk.,Technology
MTDL,Metrodata Electronics Tbk.,Technology
PTSN,Sat Nusapersada Tbk,Technology
BUKA,Bukalapak.com Tbk.,Technology
DCII,DCI Indonesia Tbk.,Technology
DIVA,Distribusi Voucher Nusantara T,Technology
DMMX,Digital Mediatama Maxima Tbk.,Technology
EDGE,Indointernet Tbk.,Technology
ENVY,Envy Technologies Indonesia Tb,Technology
GLVA,Galva Technologies Tbk.,Technology
KIOS,Kioson Komersial Indonesia Tbk,Technology
LMAS,Limas Indonesia Makmur Tbk,Technology
LUCK,Sentral Mitra Informatika Tbk.,Technology
MCAS,M Cash Integrasi Tbk.,Technology
NFCX,NFC Indonesia Tbk.,Technology
SKYB,Northcliff Citranusa Indonesia,Technology
TECH,Indosterling Technomedia Tbk.,Technology
TFAS,Telefast Indonesia Tbk.,Technology
WIRG,WIR ASIA Tbk.,Technology
ZYRX,Zyrexindo Mandiri Buana Tbk.,Technology
PPGL,Prima Globalindo Logistik Tbk.,Transportation & Logistic
ASSA,Adi Sarana Armada Tbk.,Transportation & Logistic
BIRD,Blue Bird Tbk.,Transportation & Logistic
BLTA,Berlian Laju Tanker Tbk,Transportation & Logistic
BPTR,Batavia Prosperindo Trans Tbk.,Transportation & Logistic
GIAA,Garuda Indonesia (Persero) Tbk,Transportation & Logistic
HAIS,Hasnur Internasional Shipping,Transportation & Logistic
SMDR,Samudera Indonesia Tbk.,Transportation & Logistic
TAXI,Express Transindo Utama Tbk.,Transportation & Logistic
TMAS,Temas Tbk.,Transportation & Logistic
WEHA,WEHA Transportasi Indonesia Tb,Transportation & Logistic
AKSI,Mineral Sumberdaya Mandiri Tbk,Transportation & Logistic
CMPP,AirAsia Indonesia Tbk.,Transportation & Logistic
DEAL,Dewata Freightinternational Tb,Transportation & Logistic
HELI,Jaya Trishindo Tbk.,Transportation & Logistic
IATA,MNC Energy Investments Tbk.,Transportation & Logistic
JAYA,Armada Berjaya Trans Tbk.,Transportation & Logistic
KJEN,Krida Jaringan Nusantara Tbk.,Transportation & Logistic
LRNA,Eka Sari Lorena Transport Tbk.,Transportation & Logistic
MIRA,Mitra International Resources,Transportation & Logistic
NELY,Pelayaran Nelly Dwi Putri Tbk.,Transportation & Logistic
PURA,Putra Rajawali Kencana Tbk.,Transportation & Logistic
SAFE,Steady Safe Tbk,Transportation & Logistic
SAPX,Satria Antaran Prima Tbk.,Transportation & Logistic
SDMU,Sidomulyo Selaras Tbk.,Transportation & Logistic
TNCA,Trimuda Nuansa Citra Tbk.,Transportation & Logistic
TRJA,Transkon Jaya Tbk.,Transportation & Logistic
TRUK,Guna Timur Raya Tbk.,Transportation & Logistic
